Collection text,Collection Description,MetaDescription,MetaKeywords,PageTitle,CollectionImageFilenameSource,CollectionImageFilename2,PageName
1m Zips with 2 Sliders,,,,,https://www.quiltdirect.co.uk/acatalog/KN310FAWNA.jpg,KN310CREAMA.jpg,1m-Zips-with-2-Sliders.html
1m Zips with 2 Sliders,,,,,https://www.quiltdirect.co.uk/acatalog/KN310FAWNA.jpg,KN310CREAMA.jpg,1m-Zips-with-2-Sliders-1.html
28mm Replacement Blades ,,,,28mm Replacement Blades for Rotary Cutters | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/OL18BLADE.jpg,OL28BLADE.jpg,28mm-Replacement-Blades.html
28mm Replacement Blades ,,,,,https://www.quiltdirect.co.uk/acatalog/OL45Blade.jpg,OL28BLADE.jpg,Replacement-Blades-for-28mm-Rotary-Cutters.html
28mm Rotary Cutters,"
28mm Rotary Cutters are perfect for cutting out patterns,  small-scale projects, miniature quilts and cutting out around tight corners.
",,,28mm Rotary Cutters for Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/OL45Blade.jpg,OL28.jpg,28mm-Rotary-Cutters.html
28mm Rotary Cutters,"
28mm Rotary Cutters are perfect for cutting out patterns,  small-scale projects, miniature quilts and cutting out around tight corners.",,,,https://www.quiltdirect.co.uk/acatalog/OL45.jpg,OL28.jpg,28mm-Rotary-Cutters-1.html
28mm Rotary Cutters,,,,,https://www.quiltdirect.co.uk/acatalog/OL2AQ.jpg,BTC28A.jpg,28mm-Rotary-Cutters-2.html
45mm Replacement Blades,,,,,https://www.quiltdirect.co.uk/acatalog/OL60BLADE.jpg,OL45Blade.jpg,Replacement-Blades-for-45mm-Rotary-Cutters.html
45mm Replacement Blades ,,,,45mm Replacement Blades for Rotary Cutters | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/OL60BLADE.jpg,OL45Blade.jpg,45mm-Replacement-Blades.html
45mm Rotary Cutters,"
45mm Rotary Cutters are rolling razor blades used to cut materials into shapes, strips and pieces for craft projects 
Easily cutting up to 6 layers of cotton, a favourite for many quilters and crafters but will also cut paper, tarpauline, vinyl, upholstery and more.",,,45mm Rotary Cutters for Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/CL7503.jpg,OL45.jpg,45mm-Rotary-Cutters.html
45mm Rotary Cutters,"
45mm Rotary Cutters are rolling razor blades used to cut materials into shapes, strips and pieces for craft projects 
Easily cutting up to 6 layers of cotton, a favourite for many quilters and crafters but will also cut paper, tarpauline, vinyl, upholstery and more.",,,,https://www.quiltdirect.co.uk/acatalog/OLC60.jpg,OL45.jpg,45mm-Rotary-Cutters-1.html
45mm Rotary Cutters,,,,,https://www.quiltdirect.co.uk/acatalog/OLC60.jpg,OL2AQ.jpg,45mm-Rotary-Cutters-2.html
50/2 cones new,,,,,https://www.quiltdirect.co.uk/acatalog/SLSC1.jpg,,50-2-cones-new.html
60mm Replacement Blades,,,,,https://www.quiltdirect.co.uk/acatalog/,OL60BLADE.jpg,Replacement-Blades-for-60mm-Rotary-Cutters.html
60mm Replacement Blades ,,,,60mm Replacement Blades for Rotary Cutters | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/OL28BLADE.jpg,OL60BLADE.jpg,60mm-Replacement-Blades.html
60mm Rotary Cutters,"
60mm Rotary Cutters are rolling razor blades used to cut multiple layers of materials into strips and pieces for craft projects (up to eight layers of dress weight cotton) and ideal for trimming quilts prior to binding.  can also be used for paper, canvas, vinyl, upholstery, leather and other thick textiles.
",,,60mm Rotary Cutters for Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/OL45.jpg,OLC60.jpg,60mm-Rotary-Cutters.html
60mm Rotary Cutters,"
60mm Rotary Cutters are rolling razor blades used to cut multiple layers of materials into strips and pieces for craft projects (up to eight layers of dress weight cotton) and ideal for trimming quilts prior to binding.  can also be used for paper, canvas, vinyl, upholstery, leather and other thick textiles.",,,,https://www.quiltdirect.co.uk/acatalog/MM8217.jpg,OLC60.jpg,60mm-Rotary-Cutters-1.html
60mm Rotary Cutters,,,,,https://www.quiltdirect.co.uk/acatalog/CL3188.jpg,OLC60.jpg,60mm-Rotary-Cutters-2.html
Aaron Hoffman Thread Collections,,,,Aaron Hoffman Aurifil Thread Collections | Designer Cotton threads,https://www.quiltdirect.co.uk/acatalog/MKAJD30TT10A.jpg,MKAH50MY12A.jpg,Aaron-Hoffman.html
Abby Rose,"by Robin Pickens. Her garden was full of happiness, colour, sweetness and love.
Have you stopped to smell the roses lately? Take a moment and enjoy the soft pink of their delicate petals and the lovely fragrance that brings sweetness to the air.
Abby Rose was designed as a sister collection of Blushing Peonies. I wanted to capture the full pink blooms and deeply layered petals of these glorious blossoms. Cabbage roses seemed to fill that request for colour and beauty. Big, full roses in pretty colors. They remind me of a cottage garden with brambling vines and plants filled with charm. To go with that cottage-feel, a cheery painted plaid is one of the coordinates, along with little rose buds yet to open and ditsy leaves. Sweeping simple lines on one of the prints remind me of the sweet fragrance wafting through the air in a gentle breeze.
I wanted these cabbage roses to still have a pop of color and liveliness so the soft pink and cream backgrounds are joined by lively orange, vibrant green, serene seafoam and a deep prussian blue for vibrancy and drama. I love the play between pink and orange, orange and green, seafoam and dark blue, either to tell a two-toned colour story or create a colorfully rich mix of all the springy shades, setting the stage for the big luscious cabbage roses. So stop, smell the roses, drink in the colours, and enjoy a cottage garden with Abby Rose.
",,,,https://www.quiltdirect.co.uk/acatalog/BERN335_large.jpg,ABBYGROUPA.jpg,Abby-Rose.html
Accents In Design,,,,"Accents In Design Ruler Quilting Templates ¼"" (6mm) deep",https://www.quiltdirect.co.uk/acatalog/FLCRFOOT.jpg,FLQRRULE.jpg,Accents-In-Design.html
Accents In Design,,,,,https://www.quiltdirect.co.uk/acatalog/AmandaMurphy.jpg,FLQRRULE.jpg,Accents-In-Design-1.html
Accessories,,,,,https://www.quiltdirect.co.uk/acatalog/H156NEWB.jpg,PPBOB75REDB.jpg,Accessories-1.html
Accessory Totes,,,,Tutto  Storage Accessory Totes | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/T1997_LIME.jpg,T1214_LIME.jpg,Accessory-Totes.html
Accuquilt Demonstration Day,,,,,https://www.quiltdirect.co.uk/acatalog/TPHeadB.jpg,KP1B.jpg,Accuquilt-Demonstration-Day.html
Accuquilt Go! ,,,,Accuquilt Go! ,https://www.quiltdirect.co.uk/acatalog/HG66620.jpg,AQ55321B.jpg,Accuquilt-Go--.html
Accuquilt GO! Applique Dies,,,,Accuquilt GO! Applique Dies,https://www.quiltdirect.co.uk/acatalog/AQ55040a.jpg,AQ55199A.jpg,Accuquilt-Go--Applique-Dies.html
Accuquilt GO! Block on Board (BOB) Dies,,,,Accuquilt GO! Block on Board (BOB) Dies,https://www.quiltdirect.co.uk/acatalog/AQ55033a.jpg,AQ55490A.jpg,Accuquilt-Go--Block-on-Board--BOB--Dies2-1.html
Accuquilt GO! Books & Designs on CD,,,,Accuquilt GO! Books & Designs on CD,https://www.quiltdirect.co.uk/acatalog/BerninaCliponGroup.jpg,AQ1095B.jpg,Accuquilt-GO--Books---Designs-on-CD.html
Accuquilt Go! Classic One Patch Dies,,,,Accuquilt Go! Classic One Patch Dies,https://www.quiltdirect.co.uk/acatalog/AQ55313a.jpg,AQ55435a.jpg,Accuquilt-Go--Classic-One-Patch-Dies.html
Accuquilt GO! Cutting Mats & Accessories,,,,Accuquilt GO! Cutting Mats & Accessories,https://www.quiltdirect.co.uk/acatalog/BOBAug20.jpg,AQ55137a.jpg,Accuquilt-Go--Cutting-Mats.html
Accuquilt GO! Embroidery Downloads,"!!<<strong>>!!General Instructions for Downloading Machine Embroidery Files:  !!<</strong>>!!

- Click on the 'Click Here to Download' option in the embroidery download listing 
- You receive a message asking you whether you would like to 'Save File', choose Yes
- Navigate to the Downloads folder on your computer that contains the downloaded zip file
- Right click on the zip file and find the command in the menu (words like “Extract All”) for unzipping files
- Click and follow the instructions for unzipping and saving the files to the location of your choice
- When the files are unzipped and saved, you can then transfer the files to a flash drive in the machine format that is used by your embroidery machine


 ",,,Accuquilt GO! Embroidery Downloads,https://www.quiltdirect.co.uk/acatalog/OGRN65105S.jpg,EMB55482A.jpg,Accuquilt-GO--Embroidery-Downloads.html
Accuquilt GO! Fabric Cutters,,,,Accuquilt GO! Fabric Cutters,https://www.quiltdirect.co.uk/acatalog/AQ55776.jpg,AQ55100a.jpg,Accuquilt-GO--Fabric-Cutters.html
Accuquilt GO! Fabric Cutters,,,,,https://www.quiltdirect.co.uk/acatalog/OGRN12.jpg,AQ55700A.jpg,Accuquilt-GO--Fabric-Cutters-1.html
Accuquilt Go! Fabric Cutters and Qubes £25 Off,,,,,https://www.quiltdirect.co.uk/acatalog/CraftersEdgeGroup.jpg,AQ55797B.jpg,Acc.html
Accuquilt Go! Fabric Cutting System,"Quilt Direct was the first retailer in the UK to offer the Accuquilt range. In May 2019 we were offered Signature dealer status, usually reserved for the best retailers in the USA.  

We are excited to be able to offer the complete range of Accuquilt cutters, dies and accessories.

Accuquilt fabric cutting systems yield accurate fabric shapes each and every time, and save time for quilters, so you can get right down to the fun part of quilting.
A benefit of the fabric cutters is they help quiltmakers with a variety of disabilities quilt again. Quilters with arthritis, sight limitations, and other physical ailments are now able to continue quilting because of the AccuQuilt cutting systems.

* 90% Faster Than Rotary Cutting 
* Accurately Cut up to 6 Layers of Fabric at a Time
* Reduce Fabric Waste 
* Minimize Hand, Arm and Back Strain


",,,Accuquilt Go! Fabric Cutting System,https://www.quiltdirect.co.uk/acatalog/AQ55199A.jpg,AQ55100a.jpg,Accuquilt-Go--Fabric-Cutting.html
Accuquilt Go! Fabric Cutting System,"
We are excited to be able to offer the complete range of Accuquilt cutters, dies and accessories.

Accuquilt fabric cutting systems yield accurate fabric shapes each and every time, and save time for quilters, so you can get right down to the fun part of quilting.
A benefit of the fabric cutters is they help quiltmakers with a variety of disabilities quilt again. Quilters with arthritis, sight limitations, and other physical ailments are now able to continue quilting because of the AccuQuilt cutting systems.

* 90% Faster Than Rotary Cutting 
* Accurately Cut up to 6 Layers of Fabric at a Time
* Reduce Fabric Waste 
* Minimize Hand, Arm and Back Strain",,,,https://www.quiltdirect.co.uk/acatalog/RIBBONA.jpg,AQ55700A.jpg,Accuquilt.html
Accuquilt GO! Face Mask Strip Cutters,"Quickly and accurately cut multiple layers of fabric with theses Accuquilt Strip Cutter dies. Use with the free downloadable Accuquilt Face Mask Pattern, use the small strips cutter for teenagers and children. 

Due to the demand in America we are unable to stock any other Accuquilt Face mask Dies.",,,,https://www.quiltdirect.co.uk/acatalog/AQ55700A.jpg,AQ55086A.jpg,Accuquilt-GO--Face-Mask-Dies.html
Accuquilt GO! Free Face Mask Pattern Download,,,,,https://www.quiltdirect.co.uk/acatalog/AQ55086A.jpg,Embroidery Design PQ55086A.jpg,Accuquilt-GO--Face-Mask-Pattern-Downloads.html
Accuquilt GO! NEW Dies,,,,Accuquilt GO! NEW Dies for 2019 ,https://www.quiltdirect.co.uk/acatalog/AQ55251a.jpg,BOBAug20.jpg,NEWAccuquilt2019.html
Accuquilt GO! Pattern Downloads,"!!<<strong>>!!General Instructions for Downloading Machine Pattern Files:  !!<</strong>>!!

- Click on the 'Click Here to Download' option in the pattern download listing 
- You receive a message asking you whether you would like to 'Save File', choose Yes
- Navigate to the Downloads folder on your computer that contains the downloaded PDF file",,,Accuquilt GO! Pattern Downloads,https://www.quiltdirect.co.uk/acatalog/Winter_Manor_Group_A.jpg,PQ11604A.jpg,Accuquilt-GO--Pattern-Downloads.html
Accuquilt GO! Piecing Dies,,,,Accuquilt GO! Piecing Dies,https://www.quiltdirect.co.uk/acatalog/AQ55024a.jpg,AQ55040a.jpg,Accuquilt-Go--Piecing-Dies.html
Accuquilt GO! QUBE Companion Set-Angles,,,,Accuquilt GO! QUBE Companion Set-Angles,https://www.quiltdirect.co.uk/acatalog/AQ55783A.jpg,AQ55799A.jpg,Accuquilt-GO--QUBE-Companion-Set-Angles.html
Accuquilt GO! QUBE Companion Set-Corners,,,,Accuquilt GO! QUBE Companion Set-Corners,https://www.quiltdirect.co.uk/acatalog/AQ55799A.jpg,AQ55784A.jpg,Accuquilt-GO--QUBE-Companion-Set-Corners.html
Accuquilt GO! QUBE Mix & Match Sets,,,,Accuquilt GO! QUBE Mix & Match Sets,https://www.quiltdirect.co.uk/acatalog/AQ55354a.jpg,AQ55797A.jpg,Accuquilt-GO--QUBE-Mix---Match-Sets.html
Accuquilt GO! QUBE Speciality Sets,,,,Accuquilt GO! QUBE Speciality Sets,https://www.quiltdirect.co.uk/acatalog/AQ55797A.jpg,AQ55783A.jpg,Accuquilt-GO--QUBE-Speciality-Sets.html
Accuquilt GO! Qubes & Bundles,,,,"Accuquilt GO! Qubes, Sets & Bundles",https://www.quiltdirect.co.uk/acatalog/AQ55784A.jpg,AQ55776.jpg,AccuquiltBundles.html
Accuquilt GO! Rag Dies,,,,Accuquilt GO! Rag Dies,https://www.quiltdirect.co.uk/acatalog/AQ55100a.jpg,AQ55033a.jpg,Accuquilt-GO--Rag-Dies.html
Accuquilt GO! Replacement Qube Dies,,,,,https://www.quiltdirect.co.uk/acatalog/AQ55701A.jpg,New-Qube-Dies-A.jpg,Accuquilt-GO--Individual-Qube-Dies.html
Accuquilt GO! Storage,,,,Accuquilt GO! Storage,https://www.quiltdirect.co.uk/acatalog/AQ55490A.jpg,AQ55251a.jpg,Accuquilt-Go--Storage.html
Accuquilt GO! Strip Cutters,,,,Accuquilt GO! Strip Cutters,https://www.quiltdirect.co.uk/acatalog/AQ55137a.jpg,AQ55024a.jpg,Accuquilt-Go--Strip-Cutters.html
Acorn Precision Piecing Products,,,,,https://www.quiltdirect.co.uk/acatalog/H2033SQA.jpg,ACORNGROUPB.jpg,Acorn-Precision-Piecing-Products.html
Add A Quarter Rulers,,,,Add A Quarter Rulers | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/HLL255.jpg,AQPCOMBO.jpg,Add-A-Quarters.html
Adhesives,,"Craft Adhesives, glues, sticky tape, aerosol spray adhesives, glue guns, glue sticks and cleaning agents, all you need for sticking and unsticking your materials","Fabric Glue, Hi tack, Fabri Tac, Sewline Stick Refills, Roxannes Glue baste, Tacky glue,water soluble glue, air soluble glue,  Temporary spray adhesive, adhesive remover, odif cleaning agent, Déjà vu Glue, glue gun,  stiffener, double sided basting tape,  prym water soluble basting tape, permanent craft adhesive, Roxanne's refill, EZ squeezie",Fabric & Craft Glue and Adhesive for quilting & sewing,https://www.quiltdirect.co.uk/acatalog/KKB007.jpg,RXGL1.jpg,Adhesives.html
Adjustoform Dressmaking Dummies,,,,,https://www.quiltdirect.co.uk/acatalog/CL3188.jpg,AJ2FSUDFUL_A.jpg,Adjustoform-Dressmaking-Dummies2.html
Adornaments - Fun Fibres for Fabulous Effects,,,,Adornaments - Fun Fibres for Fabulous Effects,https://www.quiltdirect.co.uk/acatalog/machinequiltingvarigated.jpg,tonal blueviolet ADT100_A.jpg,Adornaments.html
Albstoffe Protect-Me Trevira Bioactive Technical Fabric,"Albstoffe Protect-Me Trevira© Bioactive Technical Fabric.

Trevira-Bioactive contains fibres with silver ions firmly integrated within them, which have an antimicrobial effect and thus inhibit the growth of bacteria. This ensures the fabric remains permanently fresh after many washes and is odour free. Trevira-Bioactive is manufactured as a continuous microfilament with many tiny capillaries which gives good filter performance. The Fabric is stretchy, breathable and hard-wearing, making it a great fabric for use when making face masks. ",,,,https://www.quiltdirect.co.uk/acatalog/QME111.jpg,ALB900X19EA.jpg,Terr.html
Alicia Jacobs Dujets Thread Collections,,,,Alicia Jacobs Dujets Thread Collections | Designer Cotton threads,https://www.quiltdirect.co.uk/acatalog/MKAC50NC4A.jpg,MKAJD30TT10A.jpg,Alicia-Jacobs-Dujets-Thread-Collections.html
Alison Glass Thread Collections,,,,Alison Glass Thread Collections | Designer Cotton Threads,https://www.quiltdirect.co.uk/acatalog/MKBH50-PI.jpg,MKAG50-E.jpg,Alison-Glass.html
Amanda Herring,,,,Aurifil Thread Collections by Amanda Herring | Designer Cotton threads,https://www.quiltdirect.co.uk/acatalog/MKAH50MY12A.jpg,MKAH50HL10A.jpg,Amanda-Herring.html
Amanda Murphy Zappy Dots Magnetic Needle Tins,,,,,https://www.quiltdirect.co.uk/acatalog/MLCBRAMBLEA.jpg,AMDFFMNTA.jpg,Amanda-Murphy-Zappy-Dots-Magnetic-Needle-Tins.html
Amberley,"By Brenda Riddle Designs

Named after a town in the southern part of England, Amberley is designed to reflect a description of the town.. It is a quaint, charming, and picturesque 
place...With the florals, classic ginghams, dots & colours of sunshine, sky, sprout, peony, pebble, & white linen, Amberley is poised and ready to bring warmth and charm to you and your home. 

",,,Amberley Moda Fabric Designer Collection,https://www.quiltdirect.co.uk/acatalog/BERN38B.jpg,swatch-amberley_A.jpg,Amberley.html
Ana Buzzalino Thread Collections,,,,Ana Buzzalino Thread Collections | Designer Cotton threads,https://www.quiltdirect.co.uk/acatalog/MKAH50HL10A.jpg,MKAB50NA12A.jpg,Ana-Buzzalino-Thread-Collections.html
Andrea Tsang Jackson ,,,,,https://www.quiltdirect.co.uk/acatalog/MKAW50MS12.jpg,,Andrea-Tsang-Jackso.html
Angela Walters,,,,,https://www.quiltdirect.co.uk/acatalog/MKBG50GC10.jpg,MKAW50MS12.jpg,Angela-Walters.html
Angie Steveson Thread Collections,,,,Angie Steveson Thread Collections | Designer Cotton threads,https://www.quiltdirect.co.uk/acatalog/ODICOATA.jpg,,Angie-Steveson-Thread-Collections.html
Animals & Birds,,,,Crafter's Edge Animals & Birds Dies,https://www.quiltdirect.co.uk/acatalog/A1064_COB.jpg,A1082_COB.jpg,CraftersEdgeAnimalsBirds.html
Animals & Birds,,,,Accuquilt GO! Applique Dies Animals & Birds Designs,https://www.quiltdirect.co.uk/acatalog/AQ55494A.jpg,AQ55373A.jpg,Animals---Birds.html
Anna Maria Horner Thread Collections,,,,Anna Maria Horner Thread Collections for Aurifil | Designer Cotton threads,https://www.quiltdirect.co.uk/acatalog/MKAS28LSHS10A.jpg,MKAMH5012AM12A.jpg,Anna-Maria-Horner-Thread-Collections.html
Annie Smith Thread Collections,,,,Annie Smith Thread Collections for Aurifil | Designer Cotton threads,https://www.quiltdirect.co.uk/acatalog/,MKAS28LSHS10A.jpg,Annie-Smith-Thread-Collections.html
Ann's Arbor,"by Minick & Simpson

Ann's Arbor pays homage to our hometown of Ann Arbor, Michigan, USA. This vintage Americana-inspired colour palette evokes happy memories of family and friends, childhood adventures and carefree summers. We've mixed pretty florals, ditsy prints, posies and our favourite paisleys with stripes and diamonds to make a collection suited to any kind of quilt. ","Moda Fleurs 100% Cotton Layer Cakes, Charm Squares and Jelly Roll Pre Cuts","Fleurs by brenda riddle 100%  Cotton Patchwork Fabric Jelly Roll, Layer cakes, Charm Squares",Moda Ann's Arbor Moda Fabric Designer Collection,https://www.quiltdirect.co.uk/acatalog/RAGGR2023.jpg,ANSARBORGroup.jpg,AnnsArbor.html
"Appliqué Books, DVD's & Patterns",,Applique Books,Applique Books,Appliqué Books | Haberdashery and Notions - huge range for sewing and quilting,https://www.quiltdirect.co.uk/acatalog/Y20210ES2.jpg,IMAMQ.jpg,Applique_Books_2.html
Appliqué Stabilisers & Papers,,,,Appliqué Stabilisers & Papers for quilting,https://www.quiltdirect.co.uk/acatalog/,QDFP.jpg,Appliqu--Stabilisers--Tempalets---Papers.html
Appliqué Tools,"If you are creating a beautiful heirloom hand appliqué, or a quick fused banner, we have tools to make it all easier. 
Mettler Fine Embroidery 60/2 or the luxury of YLI Pure Silk thread for hand applique. Freezer paper, stabilisers and fusibles, they are all here. ",Applique Tools for hand and machine applique.,"Applique Tools, hand, machine, invisible, satin stitch, celtic applique, bias applique, yli silk thread, pins, needles, pressing tools, clover mini iron,",Appliqué Tools | Haberdashery and Notions - huge range for sewing and quilting,https://www.quiltdirect.co.uk/acatalog/KK220.jpg,KKB007.jpg,Applique_Tools.html
Art Gallery Fabrics,"
ART GALLERY FABRICS have created a collector's box of fabrics like no other! ... 

Art Gallery Fabrics offer superior quality fabric that is transcended their superior thread count and fine weave. 

This 100% premium cotton is as soft and smooth you can get. You really feel the difference with just one touch! Hand-picked for makers to use in a multitude of creative projects.  An explosion of colour and design made of unique groups of signature quality cotton in a collectable box made exclusively for these fabrics. 

AGF Fabrics are OEKO-TEX certified which means they only use safe inks for your skin and the planet.

Box measures 16½"" x 6"" x 1½""  (43cm x 15cm x 4cm)   

10 Fabrics per selection",,,Art Gallery Fabrics | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/colormaster.jpg,AGFLogo.jpg,Art-Gallery-Fabrics.html
Art Gallery Fabrics,,,,,https://www.quiltdirect.co.uk/acatalog/ROCLON\FBROC2056.jpg,AGFFQ\AGFBFQ107.jpg,Art-Gallery-Fabrics-1.html
ArtBin,,,,ArtBin Storage | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/JT672.jpg,AB6922.jpg,ArtBin1.html
ArtBin Storage,,,,ArtBin Storage | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/OGQTC.jpg,AB6981.jpg,ArtBin-Storage.html
ArtBin Storage,,,,ArtBin Storage | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/RU0014.jpg,AB6980.jpg,ArtBin2.html
At Home,"by Blackbird Designs

At Home our newest fabric line, defines our Midwestern state of mind. Barb and I both love being in our own homes, surrounded by family and friends, being able to sit in our favourite chairs. Perhaps Jane Austen said it best when she wrote, ""There is nothing like staying at home for real comfort."" The lovely prints included in the collection are toasty and relaxing, and will blend with any decor. No matter what you make, be it a quilt, pillow or another item, you'll love the warmth added to your home.
","Moda Fleurs 100% Cotton Layer Cakes, Charm Squares and Jelly Roll Pre Cuts","Fleurs by brenda riddle 100%  Cotton Patchwork Fabric Jelly Roll, Layer cakes, Charm Squares",Moda At Home Moda Fabric Designer Collection,https://www.quiltdirect.co.uk/acatalog/B780B.jpg,ATHOMEGROUP.jpg,At-Home.html
August 2020 GO! Block on Board Dies,!!<<strong>>!!Available from 26th August 2020 - Call us to pre-order yours today on 01822-810877!!<</strong>>!!,,,,https://www.quiltdirect.co.uk/acatalog/BERN790PEAAA.jpg,BOBAug20.jpg,August-2020-GO--Block-on-Board-Dies.html
Aurifil House Collections,"The Aurifil House Collections - everything you love about  Designer Collections but with a focus on stash building and utility without breaking the bank.

",,,Aurifil House Collections | Designer Cotton threads,https://www.quiltdirect.co.uk/acatalog/MKAMH5012AM12A.jpg,MKAC50NC4A.jpg,Aurifil-House-Collections.html
Aurifil Thread 12/2  Varigated Large Spools 325m,"This 12wt is the most heavyweight in the Aurifil range and is perfect for hand applique, hand embroidery, hand quilting, cross stitch, embellishment, handmade lace, machine applique, blanket stitch, machine embroidery (especially for designs that use a longer stitch length), machine art quilting, Sashiko, redwork, lower looper serging, and longarm quilting.

If you wish to order a specific colour not currently in stock, you can call us and we will be very happy to priority order it for you, usually about 10-14 days. Alternatively, you can click on the colour you would like us to order and send an 'Email me when back in stock' request.

",,,Aurifil Thread 12/2  Varigated Large Spools 325m,https://www.quiltdirect.co.uk/acatalog/,MK12SC6VarGroup.jpg,Aurifil-Varigated-12-2-325m.html
Aurifil Thread 12/2 Cones 1750m,"This 12wt is the most heavyweight in the Aurifil range and is perfect for hand applique, hand embroidery, hand quilting, cross stitch, embellishment, handmade lace, machine applique, blanket stitch, machine embroidery (especially for designs that use a longer stitch length), machine art quilting, Sashiko, redwork, lower looper serging, and longarm quilting.

If you wish to order a specific colour not currently in stock, you can call us and we will be very happy to priority order it for you, usually about 10-14 days. Alternatively, you can click on the colour you would like us to order and send an 'Email me when back in stock' request.

",,,Aurifil Thread 12/2 Cones 1750m,https://www.quiltdirect.co.uk/acatalog/,,Aurifil-12-2-Cones.html
Aurifil Thread 12/2 Large Spools 325m,"This 12wt is the most heavyweight in the Aurifil range and is perfect for hand applique, hand embroidery, hand quilting, cross stitch, embellishment, handmade lace, machine applique, blanket stitch, machine embroidery (especially for designs that use a longer stitch length), machine art quilting, Sashiko, redwork, lower looper serging, and longarm quilting.

If you wish to order a specific colour not currently in stock, you can call us and we will be very happy to priority order it for you, usually about 10-14 days. Alternatively, you can click on the colour you would like us to order and send an 'Email me when back in stock' request.

",,,Aurifil Thread 12/2 Large Spools 325m,https://www.quiltdirect.co.uk/acatalog/MK12SC6VarGroup.jpg,MK12SC6Group.jpg,Aurifil-12-2-350m.html
Aurifil Thread 12/2 Small Spools,"This 12wt is the most heavyweight in the Aurifil range and is perfect for hand applique, hand embroidery, hand quilting, cross stitch, embellishment, handmade lace, machine applique, blanket stitch, machine embroidery (especially for designs that use a longer stitch length), machine art quilting, Sashiko, redwork, lower looper serging, and longarm quilting.

If you wish to order a specific colour not currently in stock, you can call us and we will be very happy to priority order it for you, usually about 10-14 days. Alternatively, you can click on the colour you would like us to order and send an 'Email me when back in stock' request.

",,,Aurifil Thread 12/2 Small Spools,https://www.quiltdirect.co.uk/acatalog/BQ0359987000.jpg,,Aurifil-12-2-Small-Spools.html
